Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,
1,4.011099,0.1927297,1.496068,3.3936998,0.2135791,-0.01882767,0.05167978,-0.9753762,,,,,
1,4.02221,0.187205,1.482086,3.397692,0.1909406,-0.009094683,0.04304213,-0.9806153,,,,,
1,4.033321,0.1814723,1.467663,3.4015988,0.168262,0.000601163,0.0336801,-0.9851665,,,,,
1,4.044433,0.1759142,1.453654,3.4053044,-0.1456011,-0.01061228,-0.02494567,0.9889719,,,,,
1,4.055544,0.170342,1.4388,3.4081607,-0.1216783,-0.02171229,-0.01554446,0.9922104,,,,,
1,4.066655,0.1648376,1.423886,3.4107885,-0.09834851,-0.03259439,-0.006781947,0.9945951,,,,,
1,4.077766,0.1592708,1.408888,3.4124877,-0.07623433,-0.0424223,0.002033617,0.996185,,,,,
1,4.088878,0.1533727,1.393457,3.4140003,-0.056305,-0.05084975,0.01268054,0.9970372,,,,,
1,4.099989,0.1475796,1.378282,3.4152912,-0.03691427,-0.05928245,0.02394848,0.9972709,,,,,
1,4.1111,0.1418171,1.362628,3.4165089,-0.01852167,-0.06787438,0.03620064,0.9968649,,,,,
1,4.122211,0.1363225,1.34705,3.4147925,0.002320887,0.07737476,-0.05171517,-0.9956572,,,,,
1,4.133323,0.131127,1.332796,3.4141691,-0.01908074,0.08891121,-0.0660316,-0.9936652,,,,,
1,4.144434,0.1261747,1.319237,3.4139612,-0.04268051,0.1009646,-0.07968885,-0.9907746,,,,,
1,4.155545,0.1213856,1.306712,3.4126619,-0.06849043,0.1142444,-0.09506199,-0.9865194,,,,,
1,4.166656,0.1167375,1.294859,3.4110595,-0.09273273,0.1276715,-0.1104029,-0.9812807,,,,,
1,4.177768,0.1121916,1.282338,3.4088119,-0.1143547,0.1404471,-0.1238666,-0.9756304,,,,,
1,4.188879,0.1077792,1.270173,3.4061672,-0.1327659,0.1521856,-0.135184,-0.9700196,,,,,
1,4.19999,0.1032772,1.258019,3.4035125,-0.1504294,0.1629249,-0.145473,-0.9641908,,,,,
1,4.211102,0.09979381,1.247369,3.3990693,-0.1644254,0.1723901,-0.1517534,-0.9592794,,,,,
1,4.222213,0.09573328,1.23645,3.3956453,-0.1802583,0.1825657,-0.1606032,-0.9530915,,,,,
1,4.233324,0.09573328,1.23645,3.3956453,-0.1802583,0.1825657,-0.1606032,-0.9530915,,,,,
1,4.244435,0.08791542,1.217115,3.3883288,-0.2068524,0.2037108,-0.1789928,-0.9400402,,,,,
1,4.255547,0.0848323,1.209314,3.3846092,-0.2182936,0.2162285,-0.1884737,-0.9327759,,,,,
1,4.266658,0.08129986,1.201659,3.3813942,-0.2293656,0.2289759,-0.197893,-0.9250945,,,,,
1,4.277769,0.0780298,1.195463,3.3778047,-0.2404651,0.2418483,-0.2065679,-0.9170691,,,,,
1,4.28888,0.07423958,1.188935,3.3747519,-0.2521926,0.2535517,-0.2152981,-0.9087118,,,,,
1,4.299992,0.07120037,1.185166,3.3711895,-0.2605267,0.2647926,-0.2235694,-0.9011256,,,,,
1,4.311103,0.06790372,1.179887,3.3679488,-0.2698068,0.2753557,-0.2315463,-0.8931797,,,,,
1,4.322214,0.064087,1.176645,3.3652986,-0.2783631,0.2851089,-0.2380785,-0.8857458,,,,,
1,4.333325,0.06004668,1.175442,3.3631125,-0.2857594,0.293576,-0.243793,-0.8790447,,,,,
1,4.344437,0.05612911,1.17179,3.3604906,-0.2940031,0.3031791,-0.2508179,-0.871054,,,,,
1,4.355548,0.0513766,1.172309,3.3591178,-0.3017838,0.311015,-0.2557456,-0.8641703,,,,,
1,4.366659,0.04705083,1.17126,3.3572138,-0.3090965,0.3191617,-0.2627824,-0.8564698,,,,,
1,4.37777,0.04205491,1.172479,3.3560677,-0.3145921,0.3258213,-0.2696811,-0.8497908,,,,,
1,4.388882,0.03671911,1.174391,3.3546538,-0.3192851,0.3316056,-0.2756165,-0.8438783,,,,,
1,4.399993,0.03150777,1.176094,3.3536564,-0.3234069,0.3380841,-0.2820695,-0.8375821,,,,,
1,4.411104,0.02594037,1.179423,3.3534403,-0.32439,0.3440773,-0.2877991,-0.8327987,,,,,
1,4.422215,0.02034809,1.182556,3.3527439,-0.3251627,0.3502497,-0.2935999,-0.8278849,,,,,
1,4.433327,0.01429315,1.187543,3.3525244,-0.3230363,0.355996,-0.2981746,-0.824625,,,,,
1,4.444438,0.008304261,1.193102,3.3524444,-0.3178695,0.3620151,-0.3030694,-0.8222244,,,,,
1,4.455549,0.002468005,1.199426,3.3519769,-0.3082575,0.3691768,-0.3076351,-0.8210033,,,,,
1,4.46666,-0.003388047,1.206244,3.351547,-0.2949221,0.378033,-0.3119866,-0.8202295,,,,,
1,4.477772,-0.009191021,1.2135,3.3511582,-0.2786314,0.3879947,-0.3162746,-0.819631,,,,,
1,4.488883,-0.01563975,1.2213,3.3515898,-0.2640046,0.3978452,-0.3188487,-0.8187528,,,,,
1,4.499994,-0.02210942,1.229727,3.3518888,-0.2511185,0.4061064,-0.3192465,-0.8185956,,,,,
1,4.511106,-0.02834009,1.237838,3.3521933,-0.2390206,0.4136791,-0.3195985,-0.8182883,,,,,
1,4.522217,-0.03472166,1.247078,3.3525532,-0.2234317,0.4215061,-0.3187837,-0.8190163,,,,,
1,4.533328,-0.0408589,1.256509,3.3527649,-0.205142,0.4294064,-0.3178229,-0.8200704,,,,,
1,4.544439,-0.04707767,1.265939,3.3529426,-0.1880987,0.436905,-0.3170839,-0.820482,,,,,
1,4.555551,-0.05297324,1.27591,3.3531395,-0.1685678,0.4436115,-0.3149781,-0.8219382,,,,,
1,4.566662,-0.05904043,1.286189,3.3533092,-0.1490952,0.4493438,-0.3127707,-0.823429,,,,,
1,4.577773,-0.06514847,1.296537,3.3535147,-0.1309867,0.453888,-0.310301,-0.8249493,,,,,
1,4.588884,-0.0713011,1.307456,3.353796,-0.1142866,0.4580721,-0.3075727,-0.8261402,,,,,
1,4.599996,-0.07708678,1.318025,3.3540877,-0.09690721,0.463033,-0.3053689,-0.8264135,,,,,
1,4.611107,-0.08250389,1.329338,3.3540628,-0.07728034,0.4679306,-0.3038822,-0.8262712,,,,,
1,4.622218,-0.08809057,1.339997,3.3541414,-0.05810618,0.4723436,-0.3030748,-0.8256276,,,,,
1,4.633329,-0.09348845,1.352074,3.3539788,-0.03937357,0.4759371,-0.3025515,-0.8248613,,,,,
1,4.644441,-0.09856155,1.362986,3.3542233,-0.02166875,0.4795779,-0.2994312,-0.8245462,,,,,
1,4.655552,-0.103262,1.373905,3.3543157,-0.005102016,0.4822025,-0.2940062,-0.8252363,,,,,
1,4.666663,-0.1083509,1.384829,3.3542661,0.01094697,0.484634,-0.2882764,-0.8257764,,,,,
1,4.677774,-0.1125862,1.395728,3.3541131,0.02530845,0.4854087,-0.2805259,-0.8276733,,,,,
