Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,2.844441,0.3489789,1.756247,0.2157881,0.5996983,0.05847036,0.1354044,-0.7865169,,,,,,
1,2.855552,0.3546076,1.752845,0.21261934,0.609947,0.05227657,0.1372336,-0.7787161,,,,,,
1,2.866663,0.3599745,1.7486,0.20963811,0.6203183,0.04465283,0.1401817,-0.7704288,,,,,,
1,2.877774,0.365361,1.744955,0.20682934,0.6303417,0.03673805,0.1425741,-0.7622285,,,,,,
1,2.888885,0.3707258,1.74024,0.20439463,0.6402335,0.02715102,0.1468344,-0.7535274,,,,,,
1,2.899997,0.3756809,1.735155,0.20266949,0.6495426,0.01759068,0.1530494,-0.7445543,,,,,,
1,2.911108,0.3810852,1.729858,0.20121288,0.6582956,0.01039464,0.1608117,-0.7353085,,,,,,
1,2.922219,0.3864467,1.724075,0.20020238,0.665553,0.002414081,0.1683466,-0.7271128,,,,,,
1,2.93333,0.3915213,1.718519,0.19865579,0.6713467,-0.008912373,0.174502,-0.7202523,,,,,,
1,2.944441,0.3964492,1.712357,0.19702677,0.6735334,-0.0261636,0.180934,-0.7161922,,,,,,
1,2.955552,0.4009669,1.705906,0.19602386,0.6741155,-0.04114878,0.1888797,-0.7128813,,,,,,
1,2.966663,0.4057686,1.699182,0.19547741,0.6746264,-0.04970085,0.199002,-0.7090892,,,,,,
1,2.977774,0.4106351,1.692751,0.19531235,0.6763621,-0.05653346,0.2088299,-0.7040799,,,,,,
1,2.988885,0.4157865,1.68531,0.19585963,0.6771019,-0.06042501,0.2197394,-0.6997119,,,,,,
1,2.999996,0.4204763,1.678376,0.1964889,0.678155,-0.06701965,0.2297187,-0.6948695,,,,,,
1,3.011107,0.4248384,1.670354,0.19856776,0.6780869,-0.07547267,0.2406169,-0.6903662,,,,,,
1,3.022218,0.4288383,1.662438,0.20051289,0.6780225,-0.08420475,0.2510553,-0.6856868,,,,,,
1,3.033329,0.4288383,1.662438,0.20051289,0.6780225,-0.08420475,0.2510553,-0.6856868,,,,,,
1,3.04444,0.4366015,1.646744,0.204405,0.6763777,-0.1036751,0.2695625,-0.6775699,,,,,,
1,3.055551,0.4403221,1.638098,0.20705108,0.6732849,-0.1162308,0.276151,-0.6759576,,,,,,
1,3.066662,0.4436532,1.629125,0.20949946,0.6670605,-0.1304879,0.2816627,-0.6772514,,,,,,
1,3.077773,0.4471917,1.620522,0.21210601,0.6616473,-0.141218,0.2883745,-0.6775844,,,,,,
1,3.088884,0.450295,1.611338,0.21540345,0.6549552,-0.148146,0.2962436,-0.67921,,,,,,
1,3.099995,0.4530679,1.602079,0.21934272,0.6481172,-0.1535822,0.3050659,-0.6806552,,,,,,
1,3.111106,0.4557584,1.592797,0.22335828,0.6409415,-0.1601747,0.3134277,-0.68213,,,,,,
1,3.122217,0.4577501,1.583312,0.227691,0.6323671,-0.1685682,0.3208479,-0.6846557,,,,,,
1,3.133328,0.4595338,1.573625,0.23235725,0.6231391,-0.177944,0.3272382,-0.6877128,,,,,,
